Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord
1313894,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320779.1196,5812637.453
1313895,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320779.3423,5812636.613
1313896,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320791.5132,5812604.259
1313897,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320791.6451,5812603.69
1313898,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320800.6579,5812579.864
1313899,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320818.6339,5812534.503
1313900,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320823.1196,5812523.995
1313901,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320823.2928,5812523.336
1313906,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317392.1762,5814882.524
1313908,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321027.2792,5813273.356
1313909,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320832.5364,5813015.857
1313910,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320874.5768,5814196.606
1313911,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320942.1023,5814745.321
1313912,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320866.3416,5814132.904
1313913,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,322698.9524,5809358.098
1313914,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,319985.5779,5812320.486
1313915,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320936.9044,5813190.482
1313916,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321294.4538,5813306.019
1313917,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320921.5341,5813051.13
1313919,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321359.4231,5813579.454
1313920,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321360.6847,5813579.784
1313921,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321370.2499,5813579.674
1313922,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Dark Brunswick Green,320059.6671,5812558.359
1313923,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320470.6085,5814143.949
1313924,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320921.0146,5813042.792
1313926,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321412.4525,5813562.997
1313927,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321207.7732,5812127.165
1313928,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,320744.8937,5814231.831
1313929,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,320744.4732,5814230.081
1313930,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,320744.2258,5814228.022
1313931,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321269.9883,5812716.567
1313932,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321322.8279,5812593.901
1313933,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320108.0704,5813394.361
1313934,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320685.7434,5812344.751
1313935,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320712.2209,5812579.484
1313936,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320795.7763,5813738.342
1313937,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321949.4483,5813248.771
1313938,"Litter Bin - Stainless Steel 80 L Recycling Bin, Old Docklands Type",Litter Bin,200201-014,"Litter Bin - Stainless Steel 80 L Recycling Bin, Old Docklands Type",,319609.731,5812174.645
1313940,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321176.8017,5812762.348
1313941,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321077.4141,5812745.021
1313942,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320925.9869,5812948.161
1313946,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320580.7816,5812271.646
1313947,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320627.1234,5812295.491
1313948,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320626.9338,5812295.101
1313949,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320626.9338,5812295.681
1313950,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320655.1594,5812306.359
1313951,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320658.9773,5812307.309
1313952,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,320681.6699,5812318.187
1313953,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320726.4862,5812335.533
1313954,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320731.8296,5812335.733
1313955,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Dark Brunswick Green,320249.0666,5813439.902
1313957,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321289.8938,5812687.543
1313958,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321348.2581,5812710.428
1313961,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321467.0729,5812758.579
1313962,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,319422.4177,5812262.378
1313963,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317791.9804,5814953.73
1313964,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Litter Bin,200201-012,"Litter Bin - Stainless Steel 80 L Litter Bin, Old Docklands Type",Stainless Steel,320806.6938,5812870.906
1313966,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321397.519,5813026.975
1313967,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321527.911,5812900.85
1313969,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320860.7208,5812412.248
1313970,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,321418.4883,5812988.892
1313972,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321976.0495,5813115.047
1313973,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,319747.5743,5811894.83
1313986,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321149.1615,5813133.104
1313987,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320105.8193,5813080.374
1313988,Seat - Metal Bench on electrical control box,Seat,201101-013,Seat - Metal Bench on electrical control box,Hawthorn Green,320159.236,5814485.023
1313989,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320970.9764,5812032.694
1313990,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320188.781,5812626.105
1313991,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320202.5516,5812631.754
1313992,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320230.5381,5812641.732
1313993,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320236.1865,5812643.052
1313994,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320253.3957,5812649.76
1313995,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320256.4879,5812650.73
1313996,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,320274.4062,5812651.62
1313997,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,320275.9069,5812648.091
1313998,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,320280.9369,5812633.783
1313999,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,320285.7937,5812620.456
1314000,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,320287.4676,5812617.277
1314001,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,,320294.5343,5812599.71
1314002,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,320296.5628,5812595.471
1314003,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,320301.8567,5812582.674
1314004,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,200501-014,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,,320304.8582,5812574.375
1314005,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320301.0651,5812566.077
1314009,Seat - Flat Bench Seat - Wooden Battens,Seat,201101-008,Seat - Flat Bench Seat - Wooden Battens,,319193.6195,5811681.56
1314012,Seat - Stainless Steel Seat - 3m & LED lights,Seat,201101-028,Seat - Stainless Steel Seat - 3m & LED lights,Stainless Steel,318768.9981,5812691.052
1314014,Bicycle Rails - Galvanised Steel Bicycle Rail,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,,318782.3415,5812796.923
1314015,Seat - Straight Seat - Wooden Battens - Type 3,Seat,201101-039,Seat - Straight Seat - Wooden Battens - Type 3,,319078.8456,5811687.029
1314016,Seat - Fixed Single Seat,Seat,201101-005,Seat - Fixed Single Seat,Stainless Steel,318815.1832,5812669.636
1314017,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,319622.5518,5812180.149
1314018,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,318722.145,5812670.916
1314019,Seat - Straight Seat - Wooden Battens - Type 3,Seat,201101-039,Seat - Straight Seat - Wooden Battens - Type 3,,318957.9203,5811775.181
1314020,"Litter Bin - Stainless Steel 80 L Recycling Bin, Old Docklands Type",Litter Bin,200201-014,"Litter Bin - Stainless Steel 80 L Recycling Bin, Old Docklands Type",,319245.9971,5812783.816
1314021,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319657.4004,5812169.476
1314023,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319038.5805,5812307.419
1314024,Seat - Straight Seat - Wooden Battens - Type 3,Seat,201101-039,Seat - Straight Seat - Wooden Battens - Type 3,,319354.4712,5811707.525
1314025,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,319658.3388,5812034.168
1314027,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,319168.4448,5812369.336
1314028,Seat - Stainless Steel Seat - 3m & LED lights,Seat,201101-028,Seat - Stainless Steel Seat - 3m & LED lights,,318980.7036,5812800.402
1314029,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320642.6257,5812552.33
1314030,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321225.7409,5812080.174
1314031,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321126.2957,5812516.637
1314032,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321377.8443,5813008.399
1314033,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,321215.3521,5813918.595
1314035,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,320585.1767,5812092.872
1314036,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,321065.6263,5811803.977
1314037,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,321064.887,5811802.683
1314038,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,,321064.887,5811805.271
1314039,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321513.1262,5813036.323
1314040,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321498.7536,5813030.584
1314041,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321516.4657,5813037.433
1361003,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317776.4887,5815036.887
1361004,Drinking Fountain - Drinking Fountain - Type 1,Drinking Fountain,200501-008,Drinking Fountain - Drinking Fountain - Type 1,,317769.1664,5814988.467
1361005,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317765.5382,5815001.644
1361007,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317763.5427,5815011.562
1361008,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317756.9543,5815039.677
1361009,Drinking Fountain - Drinking Fountain - Type 1,Drinking Fountain,200501-008,Drinking Fountain - Drinking Fountain - Type 1,,317715.7168,5815236.417
1361010,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317712.9462,5815247.564
1361013,Seat - Circular Concrete & Wood Seat,Seat,201101-001,Seat - Circular Concrete & Wood Seat,,317643.3183,5815564.17
1361014,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,317546.1245,5815517.059
1361017,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317488.214,5815474.248
1361018,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317317.5415,5815335.906
1361027,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,317575.1334,5815500.043
1361028,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,317577.7803,5815499.773
1361032,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317547.0563,5815247.064
1361035,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317531.3727,5815036.067
1361036,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,317544.6156,5815036.527
1361064,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,317626.134,5814994.676
