Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord
1078925,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321108.3279,5812339.752
1078926,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.2314,5812247.591
1078927,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,321175.9936,5813605.909
1078928,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.1819,5812250.03
1078929,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320629.1272,5812211.188
1078930,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320649.9563,5812217.207
1078931,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320661.4675,5812222.676
1078932,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320673.5477,5812228.465
1078933,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320684.1272,5812231.814
1078934,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320585.9353,5812204.819
1078935,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320586.4218,5812207.379
1078936,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320597.4383,5812206.729
1078937,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320608.8671,5812208.189
1078939,Seat - Semi-circular Bluestone Bench,Seat,201101-022,Seat - Semi-circular Bluestone Bench,,320279.2218,5812622.016
1078941,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321016.4771,5814306.689
1078942,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321018.1758,5814321.496
1078943,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,320955.7463,5813960.418
1078944,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321135.6465,5814433.174
1078945,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321012.28,5814446.591
1078946,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321017.8872,5814492.902
1078947,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321019.7178,5814510.038
1078948,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321022.843,5814540.292
1078949,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321042.4269,5814539.272
1078950,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Other,320958.4014,5814339.842
1078951,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Dark Brunswick Green,320472.5875,5812572.476
1078952,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321038.9801,5814507.239
1078953,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321028.0214,5814411.408
1078954,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321031.6578,5814443.122
1078955,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321037.298,5814491.762
1078956,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321057.8714,5814667.397
1078957,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Dark Brunswick Green,320478.0463,5812555.949
1078958,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,320985.8025,5814218.427
1078959,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321000.1421,5814160.248
1078960,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321004.8669,5814382.594
1078961,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321054.5648,5814641.012
1078962,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321050.9779,5814607.859
1078963,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321036.3167,5814658.049
1078964,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321034.5109,5814643.692
1078965,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321030.66,5814609.968
1078966,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320306.7795,5813600.57
1078967,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320289.0014,5813594.171
1078968,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320295.5486,5813596.541
1078969,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,321314.2439,5813066.507
1078970,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321356.8751,5813063.797
1078971,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321384.8039,5812993.692
1078972,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320688.5882,5812945.991
1078973,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320689.52,5812943.672
1078974,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320691.3423,5812948.83
1078975,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320693.5357,5812949.66
1078976,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Dark Brunswick Green,320364.748,5813602.49
1078977,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Dark Brunswick Green,320377.3559,5813621.866
1078978,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320765.5057,5813315.907
1078979,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,321011.2245,5812734.513
1078981,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320837.352,5813179.134
1078982,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,321015.1908,5812670.846
1078983,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320920.7838,5812963.388
1078984,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320699.3985,5812950.1
1078985,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320700.388,5812947.621
1078986,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320932.5012,5812887.083
1078988,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320847.882,5813102.02
1078989,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320560.2082,5812791.092
1078991,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320565.6834,5813565.517
1078992,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320645.8086,5813570.546
1078993,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320618.2921,5813560.178
1078994,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320525.4518,5813524.075
1078995,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320489.7389,5813509.628
1078996,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320472.0928,5813482.614
1078999,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320883.8505,5813059.778
1079000,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320887.0746,5813145.991
1079001,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320871.9599,5813140.102
1079002,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320053.9362,5812643.502
1079003,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,318492.162,5814419.943
1079004,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320576.6587,5812578.794
1079005,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320595.7974,5812556.299
1079007,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321109.9276,5813618.737
1079008,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321395.9358,5812848.031
1079009,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321362.6637,5812834.953
1079010,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321341.076,5812827.045
1079011,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321273.2702,5812799.93
1079012,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321301.2731,5812636.323
1079014,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321504.5669,5812891.132
1079015,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321475.4837,5812879.304
1079017,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321143.6368,5812749.07
1079018,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320939.2628,5812552.89
1079019,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320924.9314,5812548.131
1079020,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320853.6459,5812525.285
1079021,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320360.7405,5812428.315
1079022,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320494.9668,5813366.527
1079023,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320523.3986,5813294.541
1079024,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320359.0913,5813692.182
1079025,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322470.5959,5812578.774
1079026,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322471.371,5812588.223
1079027,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320094.5884,5814439.832
1079028,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320647.0372,5812553.42
1079029,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320707.5537,5812577.885
1079030,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320649.6512,5812437.563
1079031,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320647.8206,5812436.743
1079034,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320839.6856,5812479.514
1079035,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320816.0529,5813259.958
1079036,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321251.5175,5813402.11
1079037,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321266.154,5813364.787
1079038,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321275.4058,5813342.322
1079039,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321277.5085,5813336.823
1079041,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321352.9088,5812854.199
1079042,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321506.1666,5812914.387
1079043,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321462.6284,5812897.471
1079044,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321419.2634,5812880.634
1079045,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321085.9239,5812748.661
1079046,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321191.0918,5812790.292
1079047,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321136.603,5812768.796
1079048,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321046.1458,5812732.894
1079049,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320975.726,5812775.515
1079050,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320951.4007,5812804.709
1079051,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320975.4127,5812704.669
1079052,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320690.996,5813966.547
1079053,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319443.824,5813839.782
1079054,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319398.5789,5813826.475
1079055,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319421.0983,5813823.636
1079056,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319911.5382,5813784.433
1079057,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319889.2826,5813762.738
1079059,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,321350.2701,5814897.581
1079060,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320864.2995,5813108.798
1079061,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320079.0532,5812605.759
1079063,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320207.8949,5812540.672
1079064,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320180.0404,5812612.978
1079065,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320819.6069,5813174.725
1079066,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321471.1547,5813410.938
1079067,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321452.3211,5813458.998
1079068,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321461.375,5813398.161
1079069,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321341.9336,5813350.89
1079070,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321299.4096,5813334.423
1079071,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320297.6101,5812418.337
1079072,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322832.3176,5812553.929
1079073,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322831.7487,5812547.591
1079074,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,322591.5216,5813305.769
1079075,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,322606.0508,5813412.108
1079076,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320453.8529,5813470.766
1079077,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320664.6257,5813346.361
1079078,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320653.8813,5813373.995
1079079,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320775.6811,5812736.283
1079082,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,319652.4199,5813184.133
1079083,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321213.9988,5812859.238
1079084,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321221.4696,5812839.692
1079085,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320997.256,5813417.007
1079086,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321166.717,5813505.179
1079087,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321193.2687,5813484.273
1079088,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320010.398,5814744.891
1079089,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320006.5967,5814745.401
1079090,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319997.386,5814746.561
1079091,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319992.2901,5814747.231
1079092,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Mid Brunswick Green,320470.7487,5813528.105
1079093,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320916.4299,5812659.098
1079094,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320880.5851,5812645.401
1079095,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320856.0866,5812636.173
1079096,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320785.3865,5813352.13
1079097,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320559.128,5813260.358
1079098,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320575.3146,5813217.247
1079099,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320587.3041,5813188.303
1079100,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320607.8528,5813077.795
1079101,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321193.0955,5812846.461
1079102,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321153.1278,5812948.671
1079103,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320898.7261,5813022.636
1079104,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320543.9885,5813300.06
1079105,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320630.3641,5813324.645
1079106,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320721.5799,5813424.785
1079107,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320633.1512,5813012.288
1079108,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320851.8565,5813023.825
1079109,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320857.7111,5813025.735
1079110,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320510.4031,5812320.846
1079111,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320532.3289,5811808.748
1079112,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320519.8281,5811756.299
1079113,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320178.9437,5812955.639
1079114,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321748.6366,5813170.656
1079115,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320361.7959,5813648.501
1079116,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320364.2367,5813649.55
1079117,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320366.8672,5813650.61
1079118,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320361.4908,5813618.417
1079119,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320359.6603,5813617.707
1079120,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320342.1873,5813610.988
1079121,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320340.7855,5813610.518
1079122,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320218.0291,5813508.469
1079123,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320217.4849,5813504.909
1079124,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321679.6516,5812882.804
1079125,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321662.2281,5812927.315
1079127,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321565.7761,5812915.407
1079129,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320356.3702,5812217.387
1079131,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321414.7364,5812878.755
1079132,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321399.8856,5812872.666
1079133,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321368.106,5812859.968
1079134,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321184.4456,5813014.857
1079136,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320159.1453,5811666.837
1079137,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320695.0117,5812962.238
1079138,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320586.3476,5812206.939
1079139,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320585.9518,5812204.439
1079142,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320883.1001,5812669.026
1079143,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320844.8145,5812653.55
1079148,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321294.7094,5813080.644
1079149,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321313.04,5813088.033
1079150,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320305.8065,5812294.331
1079151,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320677.4645,5813646.771
1079152,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320080.0179,5812855.879
1079153,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320165.338,5812929.354
1079154,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320151.6993,5812965.027
1079156,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320798.8438,5813758.838
1079157,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,321075.2043,5814797.001
1079160,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320290.1475,5812911.238
1079161,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Dark Brunswick Green,320535.0335,5812782.114
1079162,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Dark Brunswick Green,320599.3101,5812807.049
1079163,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320650.8551,5813666.297
1079164,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320416.8289,5813649.81
1079165,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321324.3286,5813148.111
1079166,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321284.567,5813250.84
1079167,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321276.4531,5813271.536
1079168,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321297.6285,5813282.434
1079169,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321312.9163,5813243.232
1079170,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321335.1884,5813187.433
1079171,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320869.1234,5813100.75
1079172,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320890.5956,5812992.632
1079173,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320881.2118,5813018.587
1079177,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320212.6033,5812664.827
1079178,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320210.6491,5812665.677
1079179,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320499.1475,5811594.081
1079180,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320489.7059,5811602.66
1079182,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320813.8842,5814377.945
1079183,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320165.7173,5814587.383
1079184,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320165.1896,5814597.121
1079185,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,320192.8874,5814899.94
1079188,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317743.8957,5814820.946
1079189,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317810.778,5814796.661
1079190,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317582.6807,5814678.255
1079191,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317716.9647,5814970.896
1079192,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317574.4018,5814987.813
1079193,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317881.2555,5814871.206
1079194,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,318031.3717,5814831.954
1079195,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317308.7445,5815283.014
1079196,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317433.5458,5815126.255
1079197,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317488.5375,5815057.859
1079198,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317520.548,5815021.046
1079199,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317242.1178,5814769.056
1079200,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317019.4957,5815278.235
1079201,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317033.6044,5815289.202
1079202,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,317055.8352,5815307.689
1079203,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,316838.6307,5815192.192
1079204,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,316844.4279,5815203.423
1079205,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,316723.9965,5815048.281
1079206,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,,316720.8961,5815049.21
1079207,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Dark Brunswick Green,320568.7674,5812600.56
1079208,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320562.5995,5813193.901
1079209,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321267.9433,5812722.866
1079210,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321295.8968,5812649.92
