Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord,latitude,longitude
1078925,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321108.3279,5812339.752,-37.8188310528,144.96754437
1078926,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.2314,5812247.591,-37.8195594936,144.961638662
1078927,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,321175.9936,5813605.909,-37.8074393949,144.968625339
1078928,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.1819,5812250.03,-37.8195375147,144.961638704
1078929,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320629.1272,5812211.188,-37.8198950374,144.9620713
1078930,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320649.9563,5812217.207,-37.8198449149,144.962309304
1078931,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320661.4675,5812222.676,-37.8197979151,144.962441368
1078932,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320673.5477,5812228.465,-37.8197481446,144.962579971
1078933,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320684.1272,5812231.814,-37.8197200573,144.96270093
1078934,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320585.9353,5812204.819,-37.8199439161,144.961579281
1078935,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320586.4218,5812207.379,-37.8199209527,144.961585439
1078936,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320597.4383,5812206.729,-37.8199289731,144.96171037
1078937,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320608.8671,5812208.189,-37.8199180687,144.961840505
1078939,Seat - Semi-circular Bluestone Bench,Seat,201101-022,Seat - Semi-circular Bluestone Bench,,320279.2218,5812622.016,-37.8161256921,144.958200129
1078941,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321016.4771,5814306.689,-37.8010958555,144.966987453
1078942,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321018.1758,5814321.496,-37.8009628141,144.967010394
1078943,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,320955.7463,5813960.418,-37.8042029912,144.96621247
1078944,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321135.6465,5814433.174,-37.7999798856,144.968371494
1078945,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321012.28,5814446.591,-37.7998348631,144.966974361
1078946,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321017.8872,5814492.902,-37.7994188147,144.967049451
1078947,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321019.7178,5814510.038,-37.7992648206,144.967074464
1078948,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321022.843,5814540.292,-37.7989929195,144.967117412
1078949,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321042.4269,5814539.272,-37.7990059446,144.967339472
1078950,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Other,320958.4014,5814339.842,-37.8007858459,144.966336363
1078951,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Dark Brunswick Green,320472.5875,5812572.476,-37.8166099734,144.960383386
1078952,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321038.9801,5814507.239,-37.7992938072,144.967292434
1078953,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321028.0214,5814411.408,-37.8001548595,144.967144367
1078954,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321031.6578,5814443.122,-37.7998699076,144.967193479
1078955,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321037.298,5814491.762,-37.799432887,144.967269518
1078956,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321057.8714,5814667.397,-37.7978548815,144.967546429
1078957,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Dark Brunswick Green,320478.0463,5812555.949,-37.8167599132,144.96044127
1078958,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,320985.8025,5814218.427,-37.8018848646,144.966617428
1078959,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321000.1421,5814160.248,-37.8024117235,144.966765842
1078960,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321004.8669,5814382.594,-37.8004098645,144.966874401
1078961,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321054.5648,5814641.012,-37.7980918973,144.967502379
1078962,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321050.9779,5814607.859,-37.798389821,144.967453476
1078963,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321036.3167,5814658.049,-37.7979348608,144.96729944
1078964,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321034.5109,5814643.692,-37.798063828,144.967275396
1078965,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321030.66,5814609.968,-37.7983668431,144.967223355
1078966,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320306.7795,5813600.57,-37.8073168373,144.958755808
1078967,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320289.0014,5813594.171,-37.8073709771,144.958552386
1078968,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320295.5486,5813596.541,-37.807350918,144.958627305
1078969,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,321314.2439,5813066.507,-37.8123251358,144.970061842
1078970,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321356.8751,5813063.797,-37.8123578895,144.970545201
1078971,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321384.8039,5812993.692,-37.8129948266,144.97084501
1078972,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320688.5882,5812945.991,-37.8132880055,144.962928438
1078973,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320689.52,5812943.672,-37.8133090769,144.962938443
1078974,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320691.3423,5812948.83,-37.8132629743,144.96296041
1078975,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320693.5357,5812949.66,-37.8132559289,144.96298552
1078976,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Dark Brunswick Green,320364.748,5813602.49,-37.8073109494,144.9594144
1078977,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Dark Brunswick Green,320377.3559,5813621.866,-37.807138901,144.959562341
1078978,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320765.5057,5813315.907,-37.8099710985,144.963893296
1078979,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,321011.2245,5812734.513,-37.8152562092,144.966539363
1078981,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320837.352,5813179.134,-37.8112171817,144.964675166
1078982,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,321015.1908,5812670.846,-37.815830467,144.966568661
1078983,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320920.7838,5812963.388,-37.8131768816,144.965569074
1078984,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320699.3985,5812950.1,-37.8132531171,144.963052194
1078985,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320700.388,5812947.621,-37.813275641,144.963062815
1078986,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320932.5012,5812887.083,-37.8138664968,144.965683245
1078988,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320847.882,5813102.02,-37.8119138517,144.964775645
1078989,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320560.2082,5812791.092,-37.8146580271,144.961432441
1078991,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320565.6834,5813565.517,-37.8076834922,144.961686461
1078992,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320645.8086,5813570.546,-37.8076539362,144.962597372
1078993,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320618.2921,5813560.178,-37.8077419202,144.962282408
1078994,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320525.4518,5813524.075,-37.8080488728,144.961219442
1078995,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320489.7389,5813509.628,-37.8081719831,144.960810409
1078996,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320472.0928,5813482.614,-37.8084118414,144.960603376
1078999,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320883.8505,5813059.778,-37.8123014038,144.965173575
1079000,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320887.0746,5813145.991,-37.8115254736,144.965231501
1079001,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320871.9599,5813140.102,-37.8115755532,144.965058438
1079002,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320053.9362,5812643.502,-37.8158877736,144.955647505
1079003,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,318492.162,5814419.943,-37.7995775388,144.938359925
1079004,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320576.6587,5812578.794,-37.8165735275,144.96156662
1079005,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320595.7974,5812556.299,-37.8167799123,144.961778355
1079007,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321109.9276,5813618.737,-37.8073109051,144.967878455
1079008,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321395.9358,5812848.031,-37.814309049,144.970935478
1079009,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321362.6637,5812834.953,-37.8144203388,144.970554476
1079010,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321341.076,5812827.045,-37.8144873454,144.970307415
1079011,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321273.2702,5812799.93,-37.8147183107,144.969530845
1079012,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321301.2731,5812636.323,-37.8161974849,144.969808421
1079014,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321504.5669,5812891.132,-37.8139420636,144.972179514
1079015,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321475.4837,5812879.304,-37.8140429174,144.971846385
1079017,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321143.6368,5812749.07,-37.8151510415,144.968046402
1079018,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320939.2628,5812552.89,-37.8168780626,144.96567738
1079019,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320924.9314,5812548.131,-37.8169181177,144.965513477
1079020,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320853.6459,5812525.285,-37.8171099142,144.964698414
1079021,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320360.7405,5812428.315,-37.8178864907,144.959077664
1079022,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320494.9668,5813366.527,-37.809461989,144.960834301
1079023,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320523.3986,5813294.541,-37.8101159903,144.96113926
1079024,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320359.0913,5813692.182,-37.8065019388,144.95937242
1079025,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322470.5959,5812578.774,-37.8169440378,144.983071368
1079026,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322471.371,5812588.223,-37.8168590759,144.983082486
1079027,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320094.5884,5814439.832,-37.7997154391,144.956555192
1079028,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320647.0372,5812553.42,-37.8168159145,144.962359442
1079029,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320707.5537,5812577.885,-37.8166074359,144.963052632
1079030,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320649.6512,5812437.563,-37.8178600062,144.962360425
1079031,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320647.8206,5812436.743,-37.8178670326,144.962339436
1079034,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320839.6856,5812479.514,-37.8175194554,144.964528576
1079035,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320816.0529,5813259.958,-37.8104849804,144.964453339
1079036,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321251.5175,5813402.11,-37.8092899067,144.969432479
1079037,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321266.154,5813364.787,-37.8096289597,144.969589443
1079038,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321275.4058,5813342.322,-37.8098331248,144.96968894
1079039,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321277.5085,5813336.823,-37.8098830688,144.969711456
1079041,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321352.9088,5812854.199,-37.8142450711,144.970448465
1079042,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321506.1666,5812914.387,-37.8137329064,144.972203409
1079043,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321462.6284,5812897.471,-37.8138767635,144.971704904
1079044,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321419.2634,5812880.634,-37.8140199407,144.971208382
1079045,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321085.9239,5812748.661,-37.8151434156,144.967391015
1079046,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321191.0918,5812790.292,-37.8147890312,144.968595396
1079047,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321136.603,5812768.796,-37.8149719813,144.967971411
1079048,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321046.1458,5812732.894,-37.8152776393,144.966935468
1079049,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320975.726,5812775.515,-37.8148799227,144.966146441
1079050,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320951.4007,5812804.709,-37.814612187,144.965877465
1079051,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320975.4127,5812704.669,-37.8155180059,144.966125369
1079052,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320690.996,5813966.547,-37.8040958369,144.963208398
1079053,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319443.824,5813839.782,-37.80499192,144.949018349
1079054,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319398.5789,5813826.475,-37.8051028342,144.948501384
1079055,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319421.0983,5813823.636,-37.8051328598,144.94875633
1079056,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319911.5382,5813784.433,-37.8055828337,144.954314355
1079057,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319889.2826,5813762.738,-37.8057738605,144.9540563
1079059,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,321350.2701,5814897.581,-37.7958387263,144.970922361
1079060,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320864.2995,5813108.798,-37.8118560205,144.964963721
1079061,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320079.0532,5812605.759,-37.8162326923,144.955923312
1079063,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320207.8949,5812540.672,-37.8168443467,144.957370063
1079064,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320180.0404,5812612.978,-37.8161875678,144.957071747
1079065,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320819.6069,5813174.725,-37.8112534131,144.964472604
1079066,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321471.1547,5813410.938,-37.8092533624,144.971928278
1079067,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321452.3211,5813458.998,-37.8088167775,144.971726299
1079068,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321461.375,5813398.161,-37.8093665393,144.971814096
1079069,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321341.9336,5813350.89,-37.8097689693,144.970446373
1079070,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321299.4096,5813334.423,-37.8099089738,144.969959517
1079071,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320297.6101,5812418.337,-37.8179639397,144.958358367
1079072,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322832.3176,5812553.929,-37.8172381147,144.987172511
1079073,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,322831.7487,5812547.591,-37.8172950944,144.987164501
1079074,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,322591.5216,5813305.769,-37.8104190726,144.984622529
1079075,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,322606.0508,5813412.108,-37.8094640364,144.984813531
1079076,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320453.8529,5813470.766,-37.8085149752,144.960393359
1079077,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320664.6257,5813346.361,-37.8096769747,144.962755503
1079078,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320653.8813,5813373.995,-37.8094259514,144.962640359
1079079,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320775.6811,5812736.283,-37.8151940491,144.963865385
1079082,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,319652.4199,5813184.133,-37.8109388466,144.951223219
1079083,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321213.9988,5812859.238,-37.8141724865,144.968872509
1079084,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321221.4696,5812839.692,-37.8143500104,144.968952507
1079085,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320997.256,5813417.007,-37.8091059072,144.966549442
1079086,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321166.717,5813505.179,-37.8083449051,144.968495155
1079087,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321193.2687,5813484.273,-37.8085384164,144.968791441
1079088,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320010.398,5814744.891,-37.7969510454,144.955675239
1079089,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320006.5967,5814745.401,-37.7969457025,144.955632216
1079090,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319997.386,5814746.561,-37.7969334388,144.95552795
1079091,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,319992.2901,5814747.231,-37.7969263996,144.955470271
1079092,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Mid Brunswick Green,320470.7487,5813528.105,-37.8080018182,144.96059939
1079093,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320916.4299,5812659.098,-37.8159169161,144.965444391
1079094,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320880.5851,5812645.401,-37.8160332584,144.965034009
1079095,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320856.0866,5812636.173,-37.8161115717,144.964753561
1079096,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320785.3865,5813352.13,-37.809648723,144.964127973
1079097,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320559.128,5813260.358,-37.8104309159,144.961536443
1079098,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320575.3146,5813217.247,-37.8108224183,144.961709538
1079099,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320587.3041,5813188.303,-37.8110854869,144.961838492
1079100,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320607.8528,5813077.795,-37.8120849227,144.962044422
1079101,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321193.0955,5812846.461,-37.8142834811,144.968632016
1079102,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321153.1278,5812948.671,-37.8133549944,144.968203459
1079103,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320898.7261,5813022.636,-37.8126388786,144.965333284
1079104,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320543.9885,5813300.06,-37.8100703255,144.961374393
1079105,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320630.3641,5813324.645,-37.8098658506,144.96236114
1079106,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320721.5799,5813424.785,-37.8089817572,144.963421535
1079107,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320633.1512,5813012.288,-37.8126799462,144.96231543
1079108,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320851.8565,5813023.825,-37.8126189721,144.964801429
1079109,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320857.7111,5813025.735,-37.8126029167,144.964868373
1079110,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320510.4031,5812320.846,-37.8188839567,144.960750383
1079111,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320532.3289,5811808.748,-37.8235009668,144.960872393
1079112,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320519.8281,5811756.299,-37.8239709398,144.960717435
1079113,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320178.9437,5812955.639,-37.813100853,144.957144382
1079114,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321748.6366,5813170.656,-37.8114719306,144.975019505
1079115,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320361.7959,5813648.501,-37.8068959261,144.959392294
1079116,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320364.2367,5813649.55,-37.8068869574,144.959420264
1079117,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320366.8672,5813650.61,-37.806877927,144.959450391
1079118,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320361.4908,5813618.417,-37.8071668466,144.95938137
1079119,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320359.6603,5813617.707,-37.8071728818,144.959360413
1079120,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320342.1873,5813610.988,-37.8072299651,144.959160376
1079121,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320340.7855,5813610.518,-37.8072339228,144.959144345
1079122,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320218.0291,5813508.469,-37.8081289625,144.95772537
1079123,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320217.4849,5813504.909,-37.8081609219,144.957718308
1079124,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321679.6516,5812882.804,-37.814051297,144.974165393
1079125,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321662.2281,5812927.315,-37.8136469587,144.973978526
1079127,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321565.7761,5812915.407,-37.8137353724,144.97288047
1079129,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320356.3702,5812217.387,-37.819785553,144.958975705
1079131,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321414.7364,5812878.755,-37.8140359802,144.971156519
1079132,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321399.8856,5812872.666,-37.8140879216,144.9709864
1079133,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321368.106,5812859.968,-37.8141960808,144.970622439
1079134,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321184.4456,5813014.857,-37.8127649586,144.968575383
1079136,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Dark Brunswick Green,320159.1453,5811666.837,-37.8247057501,144.956599465
1079137,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320695.0117,5812962.238,-37.8131429228,144.963005392
1079138,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320586.3476,5812206.939,-37.8199249014,144.961584488
1079139,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,,320585.9518,5812204.439,-37.8199473422,144.961579374
1079142,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320883.1001,5812669.026,-37.8158209501,144.965068409
1079143,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,320844.8145,5812653.55,-37.8159528363,144.964629873
1079148,Seat - Metal Bench,Seat,201101-012,Seat - Metal Bench,Hawthorn Green,321294.7094,5813080.644,-37.8121939728,144.969843538
