Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord,latitude,longitude
1372730,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,320939.0321,5812207.05,-37.8199931653,144.965589231
1372731,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320942.2681,5812207.827,-37.8199868014,144.965626168
1372733,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320772.7248,5814383.738,-37.8003540334,144.964239414
1372734,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320774.2945,5814383.626,-37.8003553503,144.964257206
1372735,Seat - Flat Bench Seat - L Shaped,Seat,201101-006,Seat - Flat Bench Seat - L Shaped,Dark Brunswick Green,320605.8656,5812786.403,-37.8147092371,144.961949679
1372736,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320445.3067,5812748.759,-37.8150167459,144.960117339
1372737,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320446.585,5812749.27,-37.8150123945,144.96013198
1372738,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Litter Bin,200201-003,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Dark Brunswick Green,319870.3773,5812500.848,-37.817136513,144.953527842
1372739,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320346.5055,5814158.478,-37.8022993159,144.959345156
1372740,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320165.4873,5814581.793,-37.798450693,144.957395249
1372741,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320164.9759,5814583.327,-37.7984367749,144.957389824
1372742,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320165.7429,5814578.597,-37.7984795312,144.957397357
1372743,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320173.7325,5814744.459,-37.7969871074,144.957529204
1372952,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321187.5518,5812513.831,-37.8172785611,144.968486934
1372953,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321188.4883,5812514.214,-37.8172752947,144.968497662
1372954,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321189.4511,5812514.557,-37.8172723937,144.968508679
1372955,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321182.1044,5812511.734,-37.8172963826,144.968424563
1372956,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,321181.3526,5812511.51,-37.817298253,144.968415971
1373140,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320739.2629,5812739.584,-37.8151571643,144.963452702
1373141,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320739.7905,5812738.107,-37.8151705719,144.963458327
1373142,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320735.9918,5812730.298,-37.8152401653,144.963413262
1373143,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320726.3843,5812769.004,-37.8148896351,144.963313759
1373144,Litter Bin - Stainless Steel 80 L Recycling Bin,Litter Bin,200201-013,Litter Bin - Stainless Steel 80 L Recycling Bin,Stainless Steel,320707.746,5812816.359,-37.8144594255,144.96311386
1373145,Litter Bin - Stainless Steel 80 L Litter Bin,Litter Bin,200201-011,Litter Bin - Stainless Steel 80 L Litter Bin,Stainless Steel,320707.861,5812815.899,-37.8144635916,144.963115052
1373147,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Litter Bin,200201-003,Litter Bin - 80L Square Metal Bin Surrounds - Silver,Dark Brunswick Green,320852.0874,5811974.355,-37.8220720969,144.964544393
1373315,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,320680.4773,5813610.998,-37.8072963748,144.963000981
1373316,Bicycle Rails - Stainless Steel Bicycle Hoop,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Stainless Steel,320916.1118,5812682.245,-37.8157083574,144.965446504
1077148,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320194.9984,5814469.456,-37.7994683751,144.957702377
1077149,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320205.3964,5814613.898,-37.7981693651,144.957856246
1077150,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320226.1431,5814898.121,-37.7956133175,144.958162249
1077151,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321502.1756,5813331.274,-37.8099770039,144.972260838
